partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,Interaction_type,Pathway_classification,Pathway_classification_specific,Pathway_classification_alternative,Reactome_classification
Acetylcholine_byCHAT_and_SLC18A3,nAChR_α3β4_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC18A3,nAChR_α4β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC18A3,nAChR_α7_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC5A7,nAChR_(α1)2β1δε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC5A7,nAChR_(α1)2β1δγ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC5A7,nAChR_(α3)2(β4)3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC5A7,nAChR_α3β4_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC5A7,nAChR_α4β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
Acetylcholine_byCHAT_and_SLC5A7,nAChR_α7_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,Acetylcholine,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC32A1,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A1,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A11,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A12,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A13,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A6,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD1_and_SLC6A8,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α1β3_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α1β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α2β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α3β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α3β3θ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α3β3ε_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α4β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α4β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α4β2δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α5β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α6β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC32A1,GABA-A_α6β3δ_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC6A1,GABA-A_α1β3γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC6A1,GABA-A_α1β2γ2S_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
GABA_byGAD2_and_SLC6A1,GABA-A_α1β2_complex,,,curated,"uniprot, reactome, IUPHAR",FALSE,JCranley,,,,,,ligand-receptor,GABA,ionotropic,,
